id,item_id,dept_id,cat_id,store_id,state_id,total_sales,mean_sales,std_sales,cv,zero_pct,avg_price,total_revenue,cumulative_revenue,cumulative_revenue_pct,ABC,XYZ,ABC_XYZ,model_recommendation
FOODS_3_120_CA_3_validation,FOODS_3_120,FOODS_3,FOODS,CA_3,CA,88795,46.41662310507057,45.59215406145003,0.9822376340959954,34.657605854678515,4.975652173913044,441813.03478260874,441813.03478260874,0.23450761488863275,A,Y,AY,Prophet or LightGBM
FOODS_3_090_CA_3_validation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,250502,130.94720334553057,108.58332542881733,0.8292145433782069,18.76633559853633,1.3476241134751772,337582.53567375883,779395.5704563676,0.41369127185761034,A,Y,AY,Prophet or LightGBM
FOODS_3_120_CA_1_validation,FOODS_3_120,FOODS_3,FOODS,CA_1,CA,61899,32.35703084161003,33.53569029781174,1.036426687663999,34.86670151594355,4.98,308257.02,1087652.5904563675,0.5773093927409082,A,Y,AY,Prophet or LightGBM
FOODS_3_586_TX_2_validation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,192835,100.80240460010455,30.871361083508656,0.3062561970220762,0.4181913225300575,1.5959574468085107,307756.45425531914,1395409.0447116867,0.7406618209677234,A,X,AX,Prophet or ARIMA
HOBBIES_1_354_TX_3_validation,HOBBIES_1_354,HOBBIES_1,HOBBIES,TX_3,TX,11291,5.902247778358599,11.219958328353643,1.9009636243149872,73.65394668060638,23.19186440677966,261859.34101694915,1657268.3857286358,0.8796527620756726,A,Z,AZ,TFT or Ensemble
FOODS_3_586_TX_3_validation,FOODS_3_586,FOODS_3,FOODS,TX_3,TX,150122,78.47464715107162,25.151283202373573,0.3205020234618553,0.36591740721380034,1.5959574468085107,239588.32382978723,1896856.7095584231,1.0068225872125303,A,X,AX,Prophet or ARIMA
FOODS_1_096_WI_2_validation,FOODS_1_096,FOODS_1,FOODS,WI_2,WI,29681,15.515420805018296,17.437301544305004,1.1238690695817348,18.81860951385259,7.988191489361703,237097.5115957447,2133954.221154168,1.1326703272361045,A,Y,AY,Prophet or LightGBM
FOODS_3_202_CA_3_validation,FOODS_3_202,FOODS_3,FOODS,CA_3,CA,51694,27.02247778358599,18.31384111828123,0.6777261976103994,5.6978567694720335,4.230425531914894,218687.61744680852,2352641.8386009764,1.2487463764598732,A,Y,AY,Prophet or LightGBM
FOODS_3_120_WI_3_validation,FOODS_3_120,FOODS_3,FOODS,WI_3,WI,43376,22.674333507579718,19.169970605447123,0.845448030436655,28.28018818609514,4.98,216012.48,2568654.3186009764,1.3634025035610207,A,Y,AY,Prophet or LightGBM
FOODS_3_586_CA_3_validation,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,134386,70.24882383690539,17.777587983998853,0.2530659876280997,0.26136957658128596,1.5956028368794326,214426.68283687942,2783081.001437856,1.4772169137340936,A,X,AX,Prophet or ARIMA
