feature,importance,percentage
rolling_mean_7,94658571.23112208,88.65736822748894
rolling_mean_14,8975150.046384305,8.406139794952253
rolling_std_7,1233830.7541383058,1.155607844882358
day_sin,540843.4092873249,0.506554796538402
sold_lag_1,393004.93776381016,0.3680890491942244
rolling_mean_28,243859.21205108473,0.22839892549920593
rolling_std_14,221091.93245446682,0.20707505525181824
sold_lag_28,113427.72475491837,0.10623658724205165
sold_lag_7,96613.41125117242,0.09048827449650787
sold_lag_14,81778.92955446243,0.07659427536738565
rolling_std_28,76499.73579192162,0.07164977410075381
month_cos,40568.19833871722,0.037996239026888416
is_weekend,38236.918664097786,0.035812758779237674
month_sin,31478.59865772724,0.02948290552230408
day_cos,24028.884770214558,0.022505491657668242
